ipo_id,company_name,symbol,winning_lots,p_win,oversubscription,listing_return,capital_lock_days,opportunity_cost,expected_gross_return,EV_single,A_star
1,Sarbottam Cement Limited,SARBTM,277607.6,0.2894884974227261,18.231979239761447,0.6946522582432808,9,1.4794520547945205,201.09383847015084,177.11438641535634,8041916.295870499
2,Sonapur Minerals and Oil Limited,SONA,973254.4,0.8731111683264601,1.517989541069632,0.32586918090748374,7,1.1506849315068495,284.5200212637197,260.8693363322128,13409912.442751307
3,IME Life Insurance Company Limited,ILI,960000.0,0.8074038937052774,1.4971427083333333,0.7639609978472837,6,0.9863013698630136,616.8250843008659,593.3387829310029,31226822.23921705
4,Ghorahi Cement Industry Limited,GCIL,691167.0,1.0,3.677883926749975,0.17011494252873563,7,1.1506849315068495,170.11494252873564,146.4642575972288,4971434.646534248
5,Vision Lumbini Urja Company Limited,VLUCL,207528.5,0.17937907923317548,5.973868649366231,3.0180000000000002,16,2.6301369863013697,541.3660611257237,516.2359241394223,24923103.81520851
6,Sun Nepal Life Insurance Company Limited,SNLI,768000.0,0.5260054203214797,2.3255755208333335,0.9665271966527197,12,1.9726027397260273,508.3985443274553,483.92594158772926,30331587.323335055
7,Reliable Nepal Life Insurance Limited,RNLI,960000.0,0.707528396947015,1.6593760416666667,0.9260700389105059,6,0.9863013698630136,655.22085009101,631.734548721147,37853011.56421596
8,Mid Solu Hydropower Limited,MSHL,62117.2,0.048422419686643244,22.628531228065658,2.3,9,1.4794520547945205,111.37156527927947,87.39211322448494,5957999.360182805
9,Bhagawati Hydropower Development Company Limited,BGWT,71222.0,0.054506201609119925,19.9945943669091,2.424137931034483,11,1.808219178082192,132.13055079728036,107.82233161919817,7102616.216321257
10,Hathway Investment Nepal Limited,HATHY,242775.0,0.19150688367756322,12.21358047574915,5.274,9,1.4794520547945205,1010.0073045154684,986.0278524606739,53395521.59383033
11,Mandu Hydropower Limited,MANDU,120532.0,0.1380922211134496,7.813584774167856,0.9927184466019418,12,1.9726027397260273,137.08669523155555,112.61409249182952,4889318.111293167
12,Citizen Life Insurance Company Limited,CLI,900000.0,0.639551120386971,1.7247077777777777,0.8737704918032786,10,1.643835616438356,558.8208969938615,534.6770613774232,32571189.396581788
13,Sanima Life Insurance Company Limited,SLI,540000.0,0.2339564373113726,63.480777777777774,2.3989999999999996,7,1.1506849315068495,561.2614931099828,537.610808178476,54774735.01303214
14,Balephi Hydropower Limited,BHL,166345.3,0.0767239979705733,14.643353313859784,0.10900000000000006,9,1.4794520547945205,8.362915778792495,-15.616536276002027,756132.2776920883
15,Green Ventures Limited,GVL,287500.0,0.1364812799902778,8.444173913043478,1.982,10,1.643835616438356,270.50589694073057,246.3620613242922,23601262.41134752
16,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,JALPA,48790.0,0.018825466816786807,62.95722484115598,2.1860000000000004,6,0.9863013698630136,41.152470461495966,17.666169091632952,4541155.217264509
17,Upakar Laghubitta Bittiya Sanstha Limited,ULBSL,22115.6,0.009414675512205754,118.60826746730814,11.599,10,1.643835616438356,109.20082126607454,85.05698564963619,10624610.292879432
18,Emerging Nepal Limited,ENL,51670.8,0.022188631798088724,51.09649937682405,1.8710000000000002,4,0.6575342465753424,41.514930094224006,18.357395847648664,4174713.325288377
19,Singati Hydro Energy Limited,SHEL,269700.0,0.1729065612173853,8.442068965517242,2.3,18,2.958904109589041,397.68509079998614,372.2261866903971,24365149.313962873
20,Ru Ru Jalbidhyut Pariyojana Limited,RURU,37916.7,0.023833550401786162,57.6965031239533,2.2,11,1.808219178082192,52.43381088392955,28.125591705847363,3431626.9484361797
21,Mahila Laghubitta Bittiya Sanstha Limited,MLBSL,37500.0,0.02440322721291718,63.180346666666665,3.46,10,1.643835616438356,84.43516615669344,60.29133054025508,5374042.55319149
22,Jyoti Life Insurance Company Limited,JLI,594000.0,0.3291500613970148,6.4070218855218855,2.88,17,2.7945205479452055,947.9521768234026,922.6576562754574,67632038.99268888
23,Prabhu Life Insurance Limited,PLI,540000.0,0.5147529138351284,5.152066666666666,0.41,9,1.4794520547945205,211.04869467240266,187.06924261760815,9232904.884318765
24,Chandragiri Hills Limited,CGH,139602.2,0.11526750143462842,16.34659768972122,0.64,11,1.808219178082192,73.7712009181622,49.462981740080004,3675522.5607213303
25,Nepal Infrastructure Bank Limited,NIFRA,7584000.0,1.0,2.204773206751055,2.74,11,1.808219178082192,2740.0,2715.6917808219177,854861470.8368555
26,Reliance Life Insurance Limited,RLI,567000.0,0.9650915985967875,4.0433880070546735,2.4,5,0.821917808219178,2316.21983663229,2292.897918824071,58348546.255506605
27,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ,8070.0,0.014743226702230666,142.06840148698885,-0.2790000000000001,8,1.3150684931506849,-4.113360249922357,-27.92842874307304,-94542.24331320106
28,Ajod Insurance Limited,AIL,273000.0,0.5634698182448638,6.306040293040293,2.2,5,0.821917808219178,1239.6336001387003,1216.311682330481,25752599.11894273
29,Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL,66152.0,0.14770390448992898,28.944854275003024,2.97,6,0.9863013698630136,438.6805963350891,415.1942949652261,8365363.149606299
30,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,444320.0,1.0,4.86425549153763,2.64,7,1.1506849315068495,2640.0,2616.349315068493,49597075.23892268
